BKG_NO,BKG_DT,BKG_SHPR_CST_NO,BKG_SHPR_CST_ENM,ACT_SHPR_CST_ENM,POR_PLC_CD,POL_PORT_CD,POD_PORT_CD,DLY_PLC_CD,FRT_PNC_CD,TEU
HK01069539,20200102,DLXH07,DHL GLOBAL FORWARDING (HK) LTD,DHL GLOBAL FORWARDING (HK) LTD,HKG,HKG,MAA,MAA,P,1
VN00519284,20200102,DMLV03,TOAN NGUYEN (DUONG MINH),,SGN,SGN,SHA,SHA,P,2
VN00519211,20200102,DMLV03,TOAN NGUYEN (DUONG MINH),,SGN,SGN,SHK,SHK,P,2
VN00519054,20200102,DMLV03,TOAN NGUYEN (DUONG MINH),,SGN,SGN,SHK,SHK,P,2
TH00555304,20200102,DOW02T,DOW CHEMICAL THAILAND LTD ,SIAM SYNTHETIC LATEX CO.,LTD,LCH,LCH,HZR,HZR,P,4
TH00555419,20200102,DOW02T,DOW CHEMICAL THAILAND LTD ,SIAM SYNTHETIC LATEX CO.,LTD.,LCH,LCH,SHA,SHA,P,2
TH00555391,20200102,DOW02T,DOW CHEMICAL THAILAND LTD ,SIAM SYNTHETIC LATEX CO.,LTD.,LCH,LCH,SHA,SHA,P,4
TH00555380,20200102,DOW02T,DOW CHEMICAL THAILAND LTD ,SIAM POLETHYLENE,LCH,LCH,TKY,TKY,P,2
TH00555320,20200102,DOW02T,DOW CHEMICAL THAILAND LTD ,SIAM SYNTHETIC LATEX CO.,LTD.,LCH,LCH,XMN,XMN,P,4
TH00555308,20200102,DOW02T,DOW CHEMICAL THAILAND LTD ,SIAM SYNTHETIC LATEX CO.,LTD.,LCH,LCH,XMN,XMN,P,4
VN00519333,20200102,DPLV00,DA PHUONG LOGISTICS AND SHIPPING SERVICES COMPANY LIMITED,,SGN,SGN,INC,INC,P,1
ID00589008,20200102,DTLI05,PT.DUNIA TRANSPORTASI LOGISTIK,PT GAYA INDAH,JKT,JKT,INC,INC,P,2
VN00519235,20200102,DTRV01,DAU TIENG RUBBER CORPORATION,,SGN,SGN,PUS,PUS,C,3
VN00519115,20200102,DTTV12,DONG TAI GLOBAL LOGISTICS AND TRADING CO.,LTD,,HPH,HPH,INC,INC,C,2
VN00519121,20200102,DTTV12,DONG TAI GLOBAL LOGISTICS AND TRADING CO.,LTD,,HPH,HPH,INC,INC,C,1
VN00519382,20200102,DTTV12,DONG TAI GLOBAL LOGISTICS AND TRADING CO.,LTD,,HPH,HPH,INC,INC,C,1
VN00519384,20200102,DTTV12,DONG TAI GLOBAL LOGISTICS AND TRADING CO.,LTD,,HPH,HPH,INC,INC,C,1
VN00519385,20200102,DTTV12,DONG TAI GLOBAL LOGISTICS AND TRADING CO.,LTD,,HPH,HPH,INC,INC,C,2
VN00519386,20200102,DTTV12,DONG TAI GLOBAL LOGISTICS AND TRADING CO.,LTD,,HPH,HPH,INC,INC,C,1
VN00519387,20200102,DTTV12,DONG TAI GLOBAL LOGISTICS AND TRADING CO.,LTD,,HPH,HPH,INC,INC,C,1
VN00519389,20200102,DTTV12,DONG TAI GLOBAL LOGISTICS AND TRADING CO.,LTD,,HPH,HPH,INC,INC,C,1
VN00519390,20200102,DTTV12,DONG TAI GLOBAL LOGISTICS AND TRADING CO.,LTD,,HPH,HPH,INC,INC,C,1
HK01069550,20200102,DWLH00,DONG WOO LOGISTICS LTD,DONG WOO LOGISTICS LIMITED,HKG,HKG,INC,INC,P,1
HK01069514,20200102,ECGZ00,E-CARGOWAY LOGISTICS CO.,LTD GUANGZHOU BRANCH,E-CARGOWAY GZ,NSN,NSN,HPH,HPH,P,2
TH00555467,20200102,ECU01T,ECU WORLDWIDE (THAILAND) CO.,LTD. ,ECU WORLDWIDE (THAILAND) CO.,L,BKK,BKK,INC,INC,C,1
TH00555472,20200102,ECU01T,ECU WORLDWIDE (THAILAND) CO.,LTD. ,ECU WORLDWIDE (THAILAND) CO.,L,BKK,BKK,INC,INC,C,1
TH00555470,20200102,ECU01T,ECU WORLDWIDE (THAILAND) CO.,LTD. ,ECU WORLDWIDE (THAILAND) CO.,L,BKK,BKK,INC,INC,C,1
ID00589109,20200102,ECUI00,PT.ECU WORLDWIDE,ECUSUB,SUB,SUB,HKG,HKG,P,2
ID00589113,20200102,ECUI00,PT.ECU WORLDWIDE,ECUSUB,SUB,SUB,PNC,PNC,P,2
ID00589112,20200102,ECUI00,PT.ECU WORLDWIDE,ECUSUB,SUB,SUB,PNC,PNC,P,2
VN00519322,20200102,ECWV01,E-CARGOWAY LOGISTICS,,SGN,SGN,INC,INC,P,1
TH00555388,20200102,EDY04T,DYNAMIC INTERTRANSPORT CO.,LTD. ,FRUIT ORGANIC,BKK,BKK,HKG,HKG,P,1
TH00555432,20200102,EDY04T,DYNAMIC INTERTRANSPORT CO.,LTD. ,FRUIT ORGANIC,BKK,BKK,NBO,NBO,P,2
ID00588920,20200102,EGLI03,PT.EAST GLOBAL LOGIX,EGL,JKT,JKT,INC,INC,C,2
HK01069636,20200102,EHGZ01,EVER HARVEST SHIPPING LTD.,EVER HARVEST,ZSN,ZSN,HPH,HPH,P,1
HK01069608,20200102,EHGZ01,EVER HARVEST SHIPPING LTD.,EVER HARVEST,ZSN,ZSN,SGN,SGN,P,3
HK01069538,20200102,ELGZ05,EASY LINK INT'L LOGISTICS (SHENZHEN) CO.,LTD,EASY LINK INT'L LOGISTICS (SHE,HUD,HUD,JKT,JKT,P,1
HK01069572,20200102,ELIH03,EVERLITE INTERNATIONAL (HK) LTD,EVERLITE,HKG,HKG,JKT,JKT,P,1
SG00262141,20200102,ELSS03,ECU-WORLDWIDE (SINGAPORE) PTE LTD,SMC,SIN,SIN,PNC,PNC,P,1
MY00375812,20200102,ENCM01,E & C MARINE PTE LTD,E&C MARINE PTE LTD,PGU,PGU,PNC,PNC,C,4
MY00375811,20200102,ENCM01,E & C MARINE PTE LTD,E&C MARINE PTE LTD,PGU,PGU,PNC,PNC,C,1
SG00262103,20200102,ESPS11,EXPEDITORS SINGAPORE PTE LTD,EXPEDITORS SINGAPORE,SIN,SIN,PUS,PUS,C,2
SG00262100,20200102,ESPS11,EXPEDITORS SINGAPORE PTE LTD,EXPEDITORS SINGAPORE,SIN,SIN,PUS,PUS,C,2
SG00262102,20200102,ESPS11,EXPEDITORS SINGAPORE PTE LTD,EXPEDITORS SINGAPORE ,SIN,SIN,PUS,PUS,P,2
SG00262106,20200102,ESPS11,EXPEDITORS SINGAPORE PTE LTD,EXPEDITORS SINGAPORE,SIN,SIN,PUS,PUS,P,2
SG00262101,20200102,ESPS11,EXPEDITORS SINGAPORE PTE LTD,EXPEDITORS SINGAPORE,SIN,SIN,PUS,PUS,P,2
ID00589053,20200102,ETCI00,PT EUROTRANS LOGISTIK INDONESIA,PT. ASPIRASI INTI SOLUSI,JKT,JKT,SHA,SHA,P,1
HK01069420,20200102,ETGZ11,EVERTOP SHIPPING LTD,YIYANG HUACHANG LIMITED,HUA,HUA,HZR,HZR,P,1
TH00555367,20200102,EXP02T,EXPEDITORS (THAILAND) LTD. ,UCHIMURA (THAILAND) CO.,LTD.,LCH,LCH,KNZ,KNZ,C,1
ID00588966,20200102,EZEI01,PT. ESA ZONA EKSPRES,PT. SEALINE,SUB,SUB,INC,INC,P,1
ID00589084,20200102,FAFI01,PT.FORIN TRANSBUANA LOGISTICS,-,SUB,SUB,HKG,HKG,P,1
ID00589068,20200102,FAFI01,PT.FORIN TRANSBUANA LOGISTICS,-,SUB,SUB,PUS,PUS,P,1
MY00375890,20200102,FAMM00,FA SHIPPING (M) SDN BHD,VITAL TECHNICAL,PKG,PKG,HKG,HKG,P,1
VN00519172,20200102,FCLV05,FOCUS LOGIX,,SGN,SGN,INC,INC,C,1
VN00519027,20200102,FCLV05,FOCUS LOGIX,,SGN,SGN,PUS,PUS,C,2
ID00588981,20200102,FEII05,PT.FREIGHT EXPRESS INDONESIA,PT. ALPHA GEMILANG SEJAHTERA,BLW,BLW,INC,INC,P,2
ID00589102,20200102,FEXI00,PT.FIRSTINDO EXPRESS,PT. FIRSTINDO EXPRESS,JKT,JKT,HPH,HPH,P,1
ID00588945,20200102,FGLI08,PT.FM GLOBAL LOGISTICS,123,JKT,JKT,PNC,PNC,P,2
ID00588941,20200102,FGLI08,PT.FM GLOBAL LOGISTICS,123,JKT,JKT,PNC,PNC,P,2
ID00588948,20200102,FGLI08,PT.FM GLOBAL LOGISTICS,123,JKT,JKT,PNC,PNC,P,2
ID00588950,20200102,FGLI08,PT.FM GLOBAL LOGISTICS,123,JKT,JKT,PNC,PNC,P,2
ID00588942,20200102,FGLI08,PT.FM GLOBAL LOGISTICS,123,JKT,JKT,PNC,PNC,P,2
ID00588935,20200102,FGLI08,PT.FM GLOBAL LOGISTICS,123,JKT,JKT,PNC,PNC,P,1
ID00588946,20200102,FGLI08,PT.FM GLOBAL LOGISTICS,123,JKT,JKT,PNC,PNC,P,2
VN00519064,20200102,FGSV01,FGS LOGISTICS CO.,LTD,,SGN,SGN,SHA,SHA,P,8
IN00236477,20200102,FJ0100,FORIN CONTAINER LINE ,FORIN CONTAINER LINE,KKU,MUN,INC,INC,P,1
IN00236478,20200102,FJ0100,FORIN CONTAINER LINE ,FORIN CONTAINER LINE,KKU,MUN,PNC,PNC,P,2
IN00236479,20200102,FJ0100,FORIN CONTAINER LINE ,FORIN CONTAINER LINE,KKU,MUN,PNC,PNC,P,2
HK01069391,20200102,FLGZ01,FREGATE LOGISTICS£¨SHENZHEN) CO., LTD,FREGATE LOGISTICS (SHENZHEN) C,XON,XON,HPH,HPH,P,3
ID00589045,20200102,FLII01,PT.FREIGHT LINER INDONESIA,-,JKT,JKT,SGN,SGN,P,10
ID00589047,20200102,FLII01,PT.FREIGHT LINER INDONESIA,-,JKT,JKT,SGN,SGN,P,1
HK01069646,20200102,FLLH15,FREGATE LOGISTICS LIMITED,FREGATE,HKG,HKG,SGN,SGN,P,1
MY00375884,20200102,FLMM04,PANTOS LOGISTICS MALAYSIA SDN BHD,KIBING ,PKW,PKW,KAN,KAN,C,14
MY00375881,20200102,FLMM04,PANTOS LOGISTICS MALAYSIA SDN BHD,SAMSUNG SDI,PKW,PKW,SHA,SHA,P,4
ID00589116,20200102,FLTI03,PT.FIN LOGISTICS,DIRECT MASTER,SUB,SUB,SGN,SGN,P,1
ID00588944,20200102,FMLI03,PT.FRIEDRICH MEYERS SOHN INDONESIA,-,SUB,SUB,SGN,SGN,P,4
ID00588951,20200102,FMLI03,PT.FRIEDRICH MEYERS SOHN INDONESIA,-,SUB,SUB,SGN,SGN,P,4
MY00375794,20200102,FMSM01,FM GLOBAL LOGISTICS (M) SDN BHD,ELEKTRISOLA,PKW,PKW,NGO,NGO,P,1
MY00375807,20200102,FMSM52,FR. MEYER'S SOHN (FAR EAST) PTE LTD,SENG HIN - 20474-H,PKW,PKW,TAO,TAO,P,10
MY00375806,20200102,FMSM52,FR. MEYER'S SOHN (FAR EAST) PTE LTD,SENG HIN - 20474-G,PKW,PKW,TAO,TAO,P,10
VN00519357,20200102,FMSV00,FORMOSA INDUSTRIES CORPORATION,,SGN,SGN,INC,INC,P,2
VN00519157,20200102,FMSV00,FORMOSA INDUSTRIES CORPORATION,,SGN,SGN,KAN,KAN,P,2
VN00519158,20200102,FMSV00,FORMOSA INDUSTRIES CORPORATION,,SGN,SGN,KAN,KAN,P,2
VN00519358,20200102,FMSV00,FORMOSA INDUSTRIES CORPORATION,,SGN,SGN,KAN,KAN,P,2
VN00519047,20200102,FMSV00,FORMOSA INDUSTRIES CORPORATION,,SGN,SGN,PUS,PUS,P,2
VN00519052,20200102,FMSV00,FORMOSA INDUSTRIES CORPORATION,,SGN,SGN,PUS,PUS,P,2
VN00519206,20200102,FMSV00,FORMOSA INDUSTRIES CORPORATION,,SGN,SGN,SHA,SHA,P,2
HK01069394,20200102,FPSH03,FAMOUS PACIFIC SHIPPING (HK) LTD.,FPS,HKG,HKG,INC,INC,P,1
ID00588943,20200102,FPSI04,PT.FPS INDONESIA,,JKT,JKT,SHA,SHA,P,6
SG00262107,20200102,FSAS01,FARWIDE SHIPPING AGENCIES (2013) PTE LTD,FARWIDE,SIN,SIN,KPO,KPO,P,9
HK01069519,20200102,FTGZ01,SHENZHEN FULL-TRANS LOGISTICS CO.,LTD,FULL-TRANS,HUA,HUA,BKK,BKK,P,2
HK01069517,20200102,FTGZ01,SHENZHEN FULL-TRANS LOGISTICS CO.,LTD,FULL-TRANS,NNS,NNS,BKK,BKK,P,1
HK01069461,20200102,FTGZ01,SHENZHEN FULL-TRANS LOGISTICS CO.,LTD,FULL-TRANS,NNS,NNS,INC,INC,P,2
HK01069388,20200102,FTGZ01,SHENZHEN FULL-TRANS LOGISTICS CO.,LTD,FULL-TRANS,NNS,NNS,KAN,KAN,P,2
HK01069395,20200102,FTGZ01,SHENZHEN FULL-TRANS LOGISTICS CO.,LTD,FULL-TRANS,NNS,NNS,PUS,PUS,P,1
HK01069556,20200102,FTGZ01,SHENZHEN FULL-TRANS LOGISTICS CO.,LTD,FULL-TRANS,NNS,NNS,VTZ,VTZ,P,2
VN00519360,20200102,GABV01,G&B VIET NAM JSC.,,HPH,HPH,SHK,SHK,P,1
HK01069409,20200102,GBLH00,GOLDEN BRIDGE LOGISTICS LTD.,GOLDEN BRIDGE LOGISTICS LTD,HKG,HKG,PUS,PUS,C,20
ID00589088,20200102,GEII02,PT.GALAXY EXPRESS INTERNATIONAL,PT MULTI SPUNINDO JAYA,SUB,SUB,OSA,OSA,P,1
ID00589091,20200102,GEII02,PT.GALAXY EXPRESS INTERNATIONAL,PT MULTI SPUNINDO JAYA,SUB,SUB,OSA,OSA,P,2
ID00589081,20200102,GEII02,PT.GALAXY EXPRESS INTERNATIONAL,PT MULTI SPUNINDO JAYA,SUB,SUB,TYO,TYO,P,2
ID00589083,20200102,GEII02,PT.GALAXY EXPRESS INTERNATIONAL,PT MULTI SPUNINDO JAYA,SUB,SUB,TYO,TYO,P,2
HK01069631,20200102,GFSH11,GOLDEN FORTUNE SHIPPING CO., LTD.,GOFORALICE,HKG,HKG,NBO,NBO,P,2
HK01069373,20200102,GFSH11,GOLDEN FORTUNE SHIPPING CO., LTD.,GOLDEN FORTUNE,HKG,HKG,TAO,TAO,P,6
HK01069507,20200102,GJGZ01,GUANGZHOU JUNGJIN LOGISTICS CO.,LTD.,JUNGJINGZ,HUA,HUA,BKK,BKK,P,4
IN00236540,20200102,GL0I01,GLOBAL LOGISTICS SOLUTIONS (INDIA) PVT. LTD.,GLOBAL LOGISTICS SOLUTION IND,NSA,NSA,PNC,PNC,P,1
HK01069563,20200102,GLGZ01,GIANT LOGISTICS LIMITED,GIANT LOGISTICS LTD,XON,XON,INC,INC,C,4
HK01069459,20200102,GLLH00,GOLD LEAP LIMITED.,GOLD LEAP LIMITED,HKG,HKG,PKG,PKG,P,4
TH00555459,20200102,GLO023,GLOVISION LOGISTICS CO., LTD. ,TC RUBBER ,LCH,LCH,INC,INC,C,2
TH00555263,20200102,GLO023,GLOVISION LOGISTICS CO., LTD. ,FRUIT 99,LCH,LCH,SHA,SHA,P,2
IN00236491,20200102,GLODEL,GLOBELINK WW INDIA PVT LTD,GLOBELINK WW INDIA PVT LTD,TKD,NSA,HKG,HKG,P,1
IN00236496,20200102,GO0108,GENESIS OVERSEAS,ADGUMS PVT LTD,AMD,MUN,PNC,PNC,P,1
IN00236525,20200102,GO1201,GLOBAL OCEAN LOGISTICS,KIRO,NSA,NSA,NBO,NBO,C,1
IN00236524,20200102,GO1201,GLOBAL OCEAN LOGISTICS,KIRO,NSA,NSA,NBO,NBO,C,1
VN00519074,20200102,GOLV05,GOLDEN OCEAN LINE LOGISTICS CO., LTD.,,HPH,HPH,INC,INC,P,1
IN00236536,20200102,GR0003,GRANDE SHIPPING & CHARTERING (I) PVT LTD,AL RUMANA AGRO COMMODITIES,MUN,MUN,PNC,PNC,P,1
IN00236543,20200102,GR0003,GRANDE SHIPPING & CHARTERING (I) PVT LTD,AL RUMANA AGRO COMMODITIES,MUN,MUN,PNC,PNC,P,1
TH00555226,20200102,GRAN10,GRANDLINK LOGISTICS CO.,LTD.,CALBEE TANAWAT CO.,LTD.,BKK,BKK,SHA,SHA,C,2
TH00555227,20200102,GRAN10,GRANDLINK LOGISTICS CO.,LTD.,CALBEE TANAWAT CO.,LTD.,BKK,BKK,SHK,SHK,C,2
TH00555457,20200102,GRAN10,GRANDLINK LOGISTICS CO.,LTD.,DAIKA,LCH,LCH,TYO,TYO,P,1
TH00555319,20200102,GRAN10,GRANDLINK LOGISTICS CO.,LTD.,DAIKA,LCH,LCH,TYO,TYO,P,1
TH00555458,20200102,GRAN10,GRANDLINK LOGISTICS CO.,LTD.,DAIKA,LCH,LCH,YOK,YOK,P,1
HK01069425,20200102,GRLH00,SHENZHEN GREAT RELIANCE LOGISTICS CO,.LTD,GREAT RELIANCE ,XON,XON,INC,INC,C,2
HK01069571,20200102,GSGH00,GS GLOBAL LOGISTICS CO LTD,GS GLOBAL,HKG,HKG,INC,INC,C,1
HK01069558,20200102,GSGZ03,GAIN SUCCESS OCEAN SHIPPING LOGISTICS AGENCY(G.D.) CO.,LTD.,GAIN SUCCESS OCEAN SHIPPING ,HUA,HUA,VTZ,VTZ,P,16
HK01069588,20200102,GSLH06,GREATEN SHIPPING AGENCY LIMITED,GREATEN SHIPPING AGENCY LTD.,HKG,HKG,PNC,PNC,P,2
VN00519100,20200102,GSLV04,GSLOGISTICS VIETNAM CO,GSLVN,SGN,SGN,INC,INC,C,2
VN00519309,20200102,GSLV04,GSLOGISTICS VIETNAM CO,GSLVN,SGN,SGN,INC,INC,C,2
VN00519101,20200102,GSLV04,GSLOGISTICS VIETNAM CO,GSLVN,SGN,SGN,INC,INC,C,2
ID00589079,20200102,GTNI05,PT. GLOBAL TRANSPORTASI ,GLOBAL,BDJ,BDJ,INC,INC,P,4
MY00375888,20200102,GWEM04,GREENWORLD EXPRESS LOGISTICS SDN BHD,HARMONY,PGU,PGU,HUA,HUA,P,1
VN00519088,20200102,HAOV01,HAOCANH PORCELAIN PRODUCTION AND TRADING CO.,LTD,,HPH,HPH,PUS,PUS,C,4
HK01069581,20200102,HBGZ01,SHANGHAI HANBONG INTERNATIONAL LOGISTICS CO LTD,SHANGHAI HANBONG INTERNATIONAL,BJO,BJO,INC,INC,C,2
HK01069529,20200102,HCLC00,HANSOL LOGISTICS (HONG KONG) CO LTD.,HANSOLHK,HKG,HKG,PNC,PNC,C,1
VN00519319,20200102,HCSV00,HACHI SERVICE CO., LTD,,SGN,SGN,NGO,NGO,P,1
SG00262108,20200102,HFFS05,H & FRIENDS GTL (SINGAPORE) PTE. LTD. ,H&FRIENDS GTL SG PTE LTD,SIN,SIN,INC,INC,C,1
HK01069508,20200102,HFGH03,H & FRIENDS GTL (HK) CO LIMITED.,H & FRIENDS GTL (H.K) CO.,LTD.,HKG,HKG,INC,INC,P,1
VN00519361,20200102,HFGV01,H & FRIENDS GTL VIETNAM CO., LTD,,SGN,SGN,INC,INC,P,1
VN00519168,20200102,HFGV01,H & FRIENDS GTL VIETNAM CO., LTD,,SGN,SGN,PUS,PUS,P,1
MY00375820,20200102,HFIM00,H & FRIENDS GTL (M) SDN. BHD.,H & FRIENDS,PEN,PEN,PUS,PUS,C,1
HK01069547,20200102,HFLL01,FM FREIGHT LOGISTICS LIMITED,FM FREIGHT,HKG,HKG,HPH,HPH,P,10
SG00262098,20200102,HFLS02,HOSANNA FREIGHT & LOGISTICS PTE LTD,HOSANNA FREIGHT & LOGISTICS,SIN,SIN,JEA,JEA,P,2
ID00589057,20200102,HFXI01,PT.HADEKA FEEDMILL,RAGA PUTRA,SUB,SUB,YAT,YAT,P,1
ID00589108,20200102,HHEI22,PT.HANKYU HANSHIN EXPRESS INDONESIA,HHEJKT-,JKT,JKT,MIP,MIP,P,1
HK01069383,20200102,HHKH04,HTNS HONG KONG CO LTD,HTNS,HKG,HKG,INC,INC,P,2
HK01069578,20200102,HHKH04,HTNS HONG KONG CO LTD,HTNS HONG KONG CO LTD,HKG,HKG,INC,INC,P,1
HK01069564,20200102,HHKH04,HTNS HONG KONG CO LTD,HTNS HONG KONG CO LTD,HKG,HKG,INC,INC,P,2
HK01069551,20200102,HHKH04,HTNS HONG KONG CO LTD,HTNS HONG KONG CO LTD,HKG,HKG,INC,INC,P,2
HK01069414,20200102,HIEH01,K LINE LOGISTICS (H.K.) LTD,K LINE LOGISTICS HK LTD,HKG,HKG,INC,INC,P,4
HK01069428,20200102,HITH01,HANKYU HANSHIN EXPRESS (HK) LTD,HANKYU HANSHIN EXPRESS,HKG,HKG,HPH,HPH,P,13
HK01069446,20200102,HITH01,HANKYU HANSHIN EXPRESS (HK) LTD,HANKYU HANSHIN EXPRESS (HK) LT,HKG,HKG,HPH,HPH,P,4
VN00519204,20200102,HJNV01,HANJIN CO.,LTD HAIPHONG OFFICE,,HPH,HPH,INC,INC,P,1
HK01069622,20200102,HKRC00,HONG KONG RICE COMPANY LIMITED,HONG KONG RICE COMPANY LIMITED,HKG,HKG,SGN,SGN,P,1
HK01069633,20200102,HLGZ00,GUANGZHOU HUILONG INTERNATIONAL FREIGHT CO.,LTD.,GZHUILONG,HUA,HUA,BKK,BKK,P,1
HK01069398,20200102,HLGZ01,GUANGZHOU HANS WORLD LOGISTICS CO.,LTD,GUANGZHOU HANS WORLD LOGISTICS,ROQ,ROQ,SGN,SGN,P,3
HK01069495,20200102,HLLH07,HIGHWAY LOGISTICS LIMITED,HIGHWAY LOGISTICS LIMITED,HKG,HKG,PKW,PKW,P,6
VN00519117,20200102,HLSV01,HL SHIPPING CO.,LTD,,SGN,SGN,ISI,ISI,P,1
VN00519118,20200102,HLSV01,HL SHIPPING CO.,LTD,,SGN,SGN,ISI,ISI,P,1
VN00519123,20200102,HLSV01,HL SHIPPING CO.,LTD,,SGN,SGN,ISI,ISI,P,1
VN00519125,20200102,HLSV01,HL SHIPPING CO.,LTD,,SGN,SGN,KIJ,KIJ,P,1
VN00519066,20200102,HLSV01,HL SHIPPING CO.,LTD,,SGN,SGN,SDJ,SDJ,P,2
VN00519124,20200102,HLSV01,HL SHIPPING CO.,LTD,,SGN,SGN,SDJ,SDJ,P,1
VN00519065,20200102,HLSV01,HL SHIPPING CO.,LTD,,SGN,SGN,SDJ,SDJ,P,2
VN00519205,20200102,HNTV03,HNT LOGISTICS & TRADING CO.,LTD,,SGN,SGN,XGG,XGG,P,4
HK01069418,20200102,HOMH01,HEAD OCEAN MARINE SERVICES LTD.,HEAD OCEAN,HKG,HKG,LCH,LCH,P,4
HK01069527,20200102,HOMH01,HEAD OCEAN MARINE SERVICES LTD.,HEAD OCEAN,HKG,HKG,NSA,NSA,P,10
HK01069436,20200102,HOMH01,HEAD OCEAN MARINE SERVICES LTD.,HEAD OCEAN,HKG,HKG,PUS,PUS,P,2
TH00555535,20200102,HONG54,HONGYUN SHIPPING CO., LTD.,168 COMPANY LIMITED,BKK,BKK,SHK,SHK,P,6
VN00519107,20200102,HQGV01,HQ GLS CO.,LTD C/O COREANA EXPRESS,HQ GLS CO.,LTD,SGN,SGN,INC,INC,P,2
VN00519084,20200102,HQGV01,HQ GLS CO.,LTD C/O COREANA EXPRESS,HQ GLS ,SGN,SGN,INC,INC,P,1
VN00519281,20200102,HQGV01,HQ GLS CO.,LTD C/O COREANA EXPRESS,HQ GLS ,SGN,SGN,PUS,PUS,P,1
SG00262070,20200102,HSPS15,HTNS SINGAPORE PTE LTD,HTNS,SIN,SIN,PKG,PKG,P,2
HK01069455,20200102,HTGZ12,HAI TRADER SUPPLY CHAIN (SHENZHEN) LIMITED.,HAI TRADER SUPPLY CHAIN(SHENZHEN)LIMITED,SJQ,SJQ,JEA,JEA,P,20
TH00555453,20200102,HTN02T,HTNS (THAILAND) CO.,LTD.,VON BUNDIT CO.,LTD.,LCH,LCH,INC,INC,C,1
VN00519220,20200102,HWHV01,HANS WORLD - HCM,,SGN,SGN,INC,INC,C,8
VN00519149,20200102,HWHV01,HANS WORLD - HCM,,SGN,SGN,INC,INC,C,4
HK01069369,20200102,HWLC05,HANS WORLD LOGISTICS CO LTD,HANSWHK,HKG,HKG,INC,INC,P,2
HK01069576,20200102,HWLC05,HANS WORLD LOGISTICS CO LTD,HANSWHK,HKG,HKG,INC,INC,C,2
HK01069376,20200102,HYGZ05,SHENZHEN HAIYUAN INTERNATIONAL LOGISTICS CO., LTD.,SHENZHEN HAIYUAN INTERNATIONAL,JIU,JIU,NGO,NGO,P,2
HK01069505,20200102,HYGZ05,SHENZHEN HAIYUAN INTERNATIONAL LOGISTICS CO., LTD.,SHENZHEN HAIYUAN INTERNATIONAL,XON,XON,PEN,PEN,P,1
HK01069486,20200102,HZGZ00,SHENZHEN HONG ZHOU INTERNATIONAL LOGISTICS CO LTD FOSHAN BRANCH,HONG ZHOU,SJQ,SJQ,INC,INC,P,1
IN00236490,20200102,IAL201,IAL LOGISTICS INDIA LTD,GOLCA TALC,KKU,MUN,LCH,LCH,P,11
ID00589046,20200102,IBTI00,PT.IRON BIRD TRANSPORT,SEAWAY BILL,SUB,SUB,OSA,OSA,P,2
SG00262116,20200102,IDKS15,PT INDAH KIAT PULP & PAPER TBK,9666040984,SIN,SIN,INC,INC,P,2
SG00262112,20200102,IDKS15,PT INDAH KIAT PULP & PAPER TBK,9666040983,SIN,SIN,KAN,KAN,P,36
SG00262114,20200102,IDKS15,PT INDAH KIAT PULP & PAPER TBK,9666040989,SIN,SIN,PUS,PUS,P,40
ID00589086,20200102,IFBI09,PT.INTERNATIONAL FREIGHT BRIDGE,PT. IFB INDONESIA,SUB,SUB,HKG,HKG,P,4
ID00588901,20200102,IFBI09,PT.INTERNATIONAL FREIGHT BRIDGE,PT. IFB INDONESIA,SUB,SUB,HPH,HPH,P,1
MY00375802,20200102,IFSM02,INTEROCEAN FREIGHT SERVICES SDN BHD,RADZEEY,PKW,PKW,SOH,SOH,P,1
IN00236546,20200102,IGLI00,INTERPORT GLOBAL LOGISTICS PVT.LTD,INTERPORT,NSA,NSA,PNC,PNC,P,1
ID00589077,20200102,IIX901,PT.IFB INDONESIA,PT IFB INDONESIA,JKT,JKT,HKG,HKG,P,10
HK01069411,20200102,ILGZ01,I - LOGISTICS (GUANGZHOU) LTD.,I - LOGISTICS (GUANGZHOU) LTD. ,HUA,HUA,BKK,BKK,P,2
VN00519096,20200102,ILSV01,INTERLINK SHIPPING CO.,LTD,INTERLINK,SGN,SGN,BKK,BKK,P,2
ID00589123,20200102,ILTI01,PT.INDO LIBERTY TEXTILES,DONG-IL,JKT,JKT,INC,INC,P,2
VN00519112,20200102,INFV02,INTERNATIONAL FOREIGN TRADE FOWARDING COMPANY LIMITED,,HPH,HPH,NAO,NAO,P,6
TH00555322,20200102,ING10T,INTEGRA LOGISTICS CORPORATION LTD.,P.P.T.INTERTRADE,BKK,BKK,HUA,HUA,P,4
MY00375829,20200102,ISBM14,INNOFREIGHT SDN BHD,SINO,PKW,PKW,NBO,NBO,P,2
SG00262064,20200102,ISPS16,ITS SHIPPING PTE LTD,RTP,SIN,SIN,YTN,YTN,P,2
VN00519294,20200102,ITIV02,ITI LOGISTICS,,SGN,SGN,PUS,PUS,P,1
VN00519311,20200102,IUMV05,IUM LOGISTICS CO.,LTD- HANOI BRANCH,CHI NHANH HA N?I ? CONG TY TNH,HPH,HPH,INC,INC,P,2
VN00519070,20200102,IUMV05,IUM LOGISTICS CO.,LTD- HANOI BRANCH,IUM,HPH,HPH,INC,INC,C,2
VN00519396,20200102,JASV01,JAS VIETNAM CO., LTD,,SGN,SGN,INC,INC,C,1
VN00519392,20200102,JDCV01,JDL VN COMPANY LIMITED,CAIS,HPH,HPH,INC,INC,P,1
