BKG_NO,BKG_DT,BKG_SHPR_CST_NO,BKG_SHPR_CST_ENM,ACT_SHPR_CST_ENM,POR_PLC_CD,POL_PORT_CD,POD_PORT_CD,DLY_PLC_CD,FRT_PNC_CD,TEU
HK01069488,20200102,AIIH00,ANC INTERNATIOAL INC.LTD.,ANC,HKG,HKG,INC,INC,C,1
SG00262082,20200102,AILS00,AGILITY LOGISTICS SOLUTIONS PTE LTD,SYNGENTA,SIN,SIN,NGO,NGO,P,1
SG00262091,20200102,AILS00,AGILITY LOGISTICS SOLUTIONS PTE LTD  ,HUNTSMAN,SIN,SIN,SHA,SHA,P,1
SG00262093,20200102,AILS00,AGILITY LOGISTICS SOLUTIONS PTE LTD  ,HUNTSMAN,SIN,SIN,SHA,SHA,P,2
SG00262095,20200102,AILS00,AGILITY LOGISTICS SOLUTIONS PTE LTD  ,HUNTSMAN,SIN,SIN,SHA,SHA,P,1
TH00555403,20200102,AIP05T,AIPEC LOGISTICS THAILAND CO LTD,KEMIRA,LCH,LCH,PEN,PEN,P,1
VN00519025,20200102,AITV00,AITC LOGISTICS (VIET NAM) CO., LTD,,SGN,SGN,TYO,TYO,P,2
ID00588897,20200102,AKPI01,PT.ARGHA KARYA PRIMA INDUSTRY, TBK,PT.ARGHA KARYA PRIMA INDUSTRY,,JKT,JKT,PUS,PUS,C,1
IN00236510,20200102,ALG000,ALIANCA LOGISTICS PVT LTD.,U.S CLOTHING ,MUN,MUN,PKW,PKW,P,2
VN00519090,20200102,ALOV02,ALO TRANSPORTATION,,SGN,SGN,LCH,LKB,P,5
IN00236487,20200102,AM0523,DHL LOGISTICS PVT LTD,DHL LOGISTICS PVT LTD,AMD,MUN,KHH,KHH,P,1
IN00236454,20200102,AM0552,TOBEN LOGISTICS SOLUTIONS PRIVATE LIMITED,TOBEN LOGISTICS SOLUTIONS P L,AMD,MUN,MIP,MIP,P,1
ID00588937,20200102,AMCI02,PT.ACE MULTITRANS CARGO,SEOWON,JKT,JKT,INC,INC,P,2
ID00588930,20200102,AMCI02,PT.ACE MULTITRANS CARGO,DONG IL,JKT,JKT,PUS,PUS,P,8
ID00588918,20200102,AMCI02,PT.ACE MULTITRANS CARGO,DONG IL,JKT,JKT,PUS,PUS,P,8
ID00588927,20200102,AMCI02,PT.ACE MULTITRANS CARGO,SEOWON,JKT,JKT,PUS,PUS,P,2
TH00555324,20200102,AMTI09,AMATA INTERFREIGHT CO., LTD.,TEP PHANICH CO.,LTD.,BKK,BKK,HKG,HKG,P,2
TH00555421,20200102,AMTI09,AMATA INTERFREIGHT CO., LTD.,CHIEM PATANA TEXTILES,BKK,BKK,INC,INC,P,2
TH00555420,20200102,AMTI09,AMATA INTERFREIGHT CO., LTD.,CHIEM PATANA TEXTILES,BKK,BKK,INC,INC,P,2
TH00555423,20200102,AMTI09,AMATA INTERFREIGHT CO., LTD.,CHIEM PATANA TEXTILES,BKK,BKK,PUS,PUS,P,1
TH00555362,20200102,AMTI09,AMATA INTERFREIGHT CO., LTD.,THAI HUA RAYONG,LCH,LCH,TAO,TAO,P,10
TH00555533,20200102,AMTI09,AMATA INTERFREIGHT CO., LTD.,VON BUNDIT,LCH,LCH,TAO,TAO,P,10
TH00555352,20200102,AMTI09,AMATA INTERFREIGHT CO., LTD.,THAI HUA RAYONG,LCH,LCH,TAO,TAO,P,10
TH00555532,20200102,AMTI09,AMATA INTERFREIGHT CO., LTD.,VON BUNDIT,LCH,LCH,TAO,TAO,P,10
TH00555524,20200102,AMTI09,AMATA INTERFREIGHT CO., LTD.,VON BUNDIT,LCH,LCH,TAO,TAO,P,10
VN00519377,20200102,ANTV23,ANT LOGISTICS CO.,LTD,,SGN,SGN,SHA,SHA,P,2
TH00555386,20200102,APM03T,KERRY-APEX (THAILAND) CO.,LTD.,TOP BOUTIQUE,BKK,BKK,SHA,SHA,P,4
IN00236471,20200102,AS1207,ANUBHAV SHIPPING AGENCIES PVT LTD,CHINUBHAI KALIDAS & BROS,AMD,MUN,NBO,NBO,P,2
MY00375781,20200102,ASBM20,ASASRAMA SDN BHD,ASASRAMA SDN BHD,PKG,PKG,SHA,SHA,P,2
MY00375925,20200102,ASBM20,ASASRAMA SDN BHD,ASASRAMA SDN BHD,PKG,PKG,TAO,TAO,P,4
MY00375787,20200102,ASLM04,A-SONIC LOGISTICS (MALAYSIA) SDN BHD,A-SONIC LOGISTICS (MALAYSIA) S,PKW,PKW,HKG,HKG,P,12
VN00519154,20200102,ASLV07,AS LOGISTICS,,SGN,SGN,SHA,SHA,P,2
VN00519139,20200102,AVNV00,AVINALOGISTICS VIETNAM,,HPH,HPH,INC,INC,C,1
TH00555482,20200102,B1S01T,BE 1ST ALLIANCE CO.,LTD.,STY? FRUITS? EXPORT,LCH,LCH,TAO,TAO,P,4
IN00236493,20200102,BB0103,BLUE BIRD CARGO PRIVATE LIMITED,BLUE BIRD CARGO P,DRI,MUN,MIP,MIP,P,1
VN00519152,20200102,BCLV06,BOLCO CO.,LTD (HANOI) ,,HPH,HPH,INC,INC,C,2
VN00519274,20200102,BEEV01,BEE LOGISTICS CORPORATION,,SGN,SGN,BKK,BKK,P,3
VN00519342,20200102,BEEV01,BEE LOGISTICS CORPORATION,,SGN,SGN,BKK,BKK,P,1
VN00519192,20200102,BEEV01,BEE LOGISTICS CORPORATION,,SGN,SGN,BKK,BKK,P,1
